"","x","x7","x10"
"1951-05-01","0","0","0"
"1951-05-02","0","0","0"
"1951-05-03","0","0","0"
"1951-05-04","0","0","0"
"1951-05-05","0","0","0"
"1951-05-06","0","0","0"
"1951-05-07","0","0","0"
"1951-05-08","0","0","0"
"1951-05-09","0","0","0"
"1951-05-10","0","0","0"
"1951-05-11","0","0","0"
"1951-05-12","0","0","0"
"1951-05-13","0","0","0"
"1951-05-14","0","0","0"
"1951-05-15","0","0","0"
"1951-05-16","0","0","0"
"1951-05-17","0","0","0"
"1951-05-18","0","0","0"
"1951-05-19","0","0","0"
"1951-05-20","0","0","0"
"1951-05-21","0","0","0"
"1951-05-22","6","0","0"
"1951-05-23","14","0","0"
"1951-05-24","44","0","0"
"1951-05-25","101","0","0"
"1951-05-26","135","0","0"
"1951-05-27","193","193","193"
"1951-05-28","193","0","0"
"1951-05-29","187","0","0"
"1951-05-30","187","0","0"
"1951-05-31","158","0","0"
"1951-06-01","122","0","0"
"1951-06-02","26","0","0"
"1951-06-03","0","0","0"
"1951-06-04","0","0","0"
"1951-06-05","0","0","0"
"1951-06-06","0","0","0"
"1951-06-07","0","0","0"
"1951-06-08","0","0","0"
"1951-06-09","0","0","0"
"1951-06-10","3","0","0"
"1951-06-11","5","0","0"
"1951-06-12","140","0","0"
"1951-06-13","228","0","0"
"1951-06-14","258","0","0"
"1951-06-15","326","0","0"
"1951-06-16","363","0","0"
"1951-06-17","396","396","396"
"1951-06-18","381","0","0"
"1951-06-19","230","0","0"
"1951-06-20","224","0","0"
"1951-06-21","201","0","0"
"1951-06-22","188","0","0"
"1951-06-23","151","0","0"
"1951-06-24","95","0","0"
"1951-06-25","30","30","0"
"1951-06-26","5","0","0"
"1951-06-27","2","0","0"
"1951-06-28","0","0","0"
"1951-06-29","0","0","0"
"1951-06-30","0","0","0"
"1951-07-01","0","0","0"
"1951-07-02","0","0","0"
"1951-07-03","0","0","0"
"1951-07-04","0","0","0"
"1951-07-05","1","0","0"
"1951-07-06","1","0","0"
"1951-07-07","1","0","0"
"1951-07-08","1","0","0"
"1951-07-09","9","0","0"
"1951-07-10","35","0","0"
"1951-07-11","47","0","0"
"1951-07-12","48","48","48"
"1951-07-13","48","0","0"
"1951-07-14","48","0","0"
"1951-07-15","48","0","0"
"1951-07-16","44","0","0"
"1951-07-17","16","0","0"
"1951-07-18","2","0","0"
"1951-07-19","0","0","0"
"1951-07-20","0","0","0"
"1951-07-21","0","0","0"
"1951-07-22","0","0","0"
"1951-07-23","2","2","0"
"1951-07-24","3","0","0"
"1951-07-25","3","0","0"
"1951-07-26","3","0","0"
"1951-07-27","3","0","0"
"1951-07-28","3","0","0"
"1951-07-29","3","0","0"
"1951-07-30","3","0","0"
"1951-07-31","8","8","8"
"1951-08-01","8","0","0"
"1951-08-02","8","0","0"
"1951-08-03","8","0","0"
"1951-08-04","8","0","0"
"1951-08-05","8","0","0"
"1951-08-06","1","0","0"
"1951-08-07","1","0","0"
"1951-08-08","1","1","0"
"1951-08-09","1","0","0"
"1951-08-10","0","0","0"
"1951-08-11","0","0","0"
"1951-08-12","0","0","0"
"1951-08-13","0","0","0"
"1951-08-14","0","0","0"
"1951-08-15","0","0","0"
"1951-08-16","0","0","0"
"1951-08-17","0","0","0"
"1951-08-18","0","0","0"
"1951-08-19","0","0","0"
"1951-08-20","0","0","0"
"1951-08-21","0","0","0"
"1951-08-22","0","0","0"
"1951-08-23","0","0","0"
"1951-08-24","8","0","0"
"1951-08-25","9","0","0"
"1951-08-26","21","0","0"
"1951-08-27","25","25","0"
"1951-08-28","27","0","0"
"1951-08-29","33","0","0"
"1951-08-30","54","0","0"
"1951-08-31","54","0","0"
"1951-09-01","62","0","62"
"1951-09-02","55","0","0"
"1951-09-03","75","0","0"
"1951-09-04","132","132","0"
"1951-09-05","174","0","0"
"1951-09-06","296","0","0"
"1951-09-07","833","0","0"
"1951-09-08","949","0","0"
"1951-09-09","987","0","0"
"1951-09-10","999","0","0"
"1951-09-11","1026","0","0"
"1951-09-12","1047","1047","1047"
"1951-09-13","995","0","0"
"1951-09-14","355","0","0"
"1951-09-15","298","0","0"
"1951-09-16","289","0","0"
"1951-09-17","225","0","0"
"1951-09-18","108","0","0"
"1951-09-19","38","0","0"
"1951-09-20","22","22","0"
"1951-09-21","5","0","0"
"1951-09-22","2","0","0"
"1951-09-23","0","0","0"
"1951-09-24","0","0","0"
"1951-09-25","0","0","0"
"1951-09-26","0","0","0"
"1951-09-27","0","0","0"
"1951-09-28","0","0","0"
"1951-09-29","0","0","0"
"1951-09-30","0","0","0"
"1952-05-01","96","0","0"
"1952-05-02","178","0","0"
"1952-05-03","257","0","0"
"1952-05-04","413","0","0"
"1952-05-05","401","0","0"
"1952-05-06","471","471","471"
"1952-05-07","466","0","0"
"1952-05-08","445","0","0"
"1952-05-09","440","0","0"
"1952-05-10","408","0","0"
"1952-05-11","339","0","0"
"1952-05-12","13","0","0"
"1952-05-13","11","0","0"
"1952-05-14","20","0","0"
"1952-05-15","32","0","0"
"1952-05-16","32","0","0"
"1952-05-17","34","34","0"
"1952-05-18","34","0","0"
"1952-05-19","44","0","0"
"1952-05-20","51","0","0"
"1952-05-21","33","0","0"
"1952-05-22","55","0","0"
"1952-05-23","53","0","0"
"1952-05-24","67","0","0"
"1952-05-25","107","107","107"
"1952-05-26","107","0","0"
"1952-05-27","102","0","0"
"1952-05-28","98","0","0"
"1952-05-29","93","0","0"
"1952-05-30","106","0","0"
"1952-05-31","41","0","0"
"1952-06-01","51","0","0"
"1952-06-02","65","0","0"
"1952-06-03","73","0","0"
"1952-06-04","79","0","0"
"1952-06-05","84","84","84"
"1952-06-06","75","0","0"
"1952-06-07","72","0","0"
"1952-06-08","75","0","0"
"1952-06-09","73","0","0"
"1952-06-10","75","0","0"
"1952-06-11","79","0","0"
"1952-06-12","126","0","0"
"1952-06-13","203","0","0"
"1952-06-14","271","0","0"
"1952-06-15","425","0","0"
"1952-06-16","459","0","0"
"1952-06-17","470","0","0"
"1952-06-18","496","0","0"
"1952-06-19","498","498","498"
"1952-06-20","399","0","0"
"1952-06-21","108","0","0"
"1952-06-22","111","0","0"
"1952-06-23","112","0","0"
"1952-06-24","109","0","0"
"1952-06-25","112","0","0"
"1952-06-26","107","0","0"
"1952-06-27","117","0","0"
"1952-06-28","236","0","0"
"1952-06-29","423","0","0"
"1952-06-30","797","0","0"
"1952-07-01","1035","1035","1035"
"1952-07-02","1026","0","0"
"1952-07-03","971","0","0"
"1952-07-04","976","0","0"
"1952-07-05","988","0","0"
"1952-07-06","880","0","0"
"1952-07-07","810","0","0"
"1952-07-08","427","0","0"
"1952-07-09","212","0","0"
"1952-07-10","217","0","0"
"1952-07-11","231","0","0"
"1952-07-12","249","249","249"
"1952-07-13","191","0","0"
"1952-07-14","189","0","0"
"1952-07-15","175","0","0"
"1952-07-16","161","0","0"
"1952-07-17","108","0","0"
"1952-07-18","40","0","0"
"1952-07-19","30","0","0"
"1952-07-20","25","25","0"
"1952-07-21","22","0","0"
"1952-07-22","20","0","0"
"1952-07-23","11","0","11"
"1952-07-24","9","0","0"
"1952-07-25","9","0","0"
"1952-07-26","6","0","0"
"1952-07-27","6","0","0"
"1952-07-28","6","0","0"
"1952-07-29","2","0","0"
"1952-07-30","1","0","0"
"1952-07-31","2","0","0"
"1952-08-01","2","0","0"
"1952-08-02","1","0","0"
"1952-08-03","2","0","0"
"1952-08-04","13","13","0"
"1952-08-05","24","0","0"
"1952-08-06","24","0","0"
"1952-08-07","25","0","0"
"1952-08-08","46","0","0"
"1952-08-09","73","0","0"
"1952-08-10","142","0","0"
"1952-08-11","193","0","0"
"1952-08-12","195","195","195"
"1952-08-13","195","0","0"
"1952-08-14","194","0","0"
"1952-08-15","194","0","0"
"1952-08-16","193","0","0"
"1952-08-17","50","0","0"
"1952-08-18","5","0","0"
"1952-08-19","10","0","0"
"1952-08-20","10","10","0"
"1952-08-21","10","0","0"
"1952-08-22","9","0","0"
"1952-08-23","7","0","7"
"1952-08-24","7","0","0"
"1952-08-25","3","0","0"
"1952-08-26","3","0","0"
"1952-08-27","16","0","0"
"1952-08-28","65","0","0"
"1952-08-29","117","0","0"
"1952-08-30","149","0","0"
"1952-08-31","160","0","0"
"1952-09-01","169","0","0"
"1952-09-02","168","0","0"
"1952-09-03","172","172","172"
"1952-09-04","169","0","0"
"1952-09-05","165","0","0"
"1952-09-06","145","0","0"
"1952-09-07","94","0","0"
"1952-09-08","51","0","0"
"1952-09-09","8","0","0"
"1952-09-10","1","0","0"
"1952-09-11","22","0","0"
"1952-09-12","43","0","0"
"1952-09-13","63","63","0"
"1952-09-14","63","0","63"
"1952-09-15","63","0","0"
"1952-09-16","63","0","0"
"1952-09-17","62","0","0"
"1952-09-18","61","0","0"
"1952-09-19","40","0","0"
"1952-09-20","0","0","0"
"1952-09-21","0","0","0"
"1952-09-22","0","0","0"
"1952-09-23","0","0","0"
"1952-09-24","0","0","0"
"1952-09-25","0","0","0"
"1952-09-26","0","0","0"
"1952-09-27","0","0","0"
"1952-09-28","0","0","0"
"1952-09-29","0","0","0"
"1952-09-30","0","0","0"
"1953-05-01","4","0","0"
"1953-05-02","4","0","0"
"1953-05-03","10","0","0"
"1953-05-04","17","0","0"
"1953-05-05","17","0","0"
"1953-05-06","18","18","18"
"1953-05-07","17","0","0"
"1953-05-08","17","0","0"
"1953-05-09","17","0","0"
"1953-05-10","16","0","0"
"1953-05-11","16","0","0"
"1953-05-12","6","0","0"
"1953-05-13","0","0","0"
"1953-05-14","3","0","0"
"1953-05-15","56","0","0"
"1953-05-16","214","0","0"
"1953-05-17","321","0","0"
"1953-05-18","484","0","0"
"1953-05-19","612","0","0"
"1953-05-20","1046","0","0"
"1953-05-21","1252","0","0"
"1953-05-22","1485","1485","1485"
"1953-05-23","1391","0","0"
"1953-05-24","1394","0","0"
"1953-05-25","1390","0","0"
"1953-05-26","959","0","0"
"1953-05-27","612","0","0"
"1953-05-28","312","0","0"
"1953-05-29","145","0","0"
"1953-05-30","144","144","0"
"1953-05-31","144","0","0"
"1953-06-01","92","0","0"
"1953-06-02","14","0","14"
"1953-06-03","12","0","0"
"1953-06-04","0","0","0"
"1953-06-05","0","0","0"
"1953-06-06","0","0","0"
"1953-06-07","0","0","0"
"1953-06-08","0","0","0"
"1953-06-09","2","0","0"
"1953-06-10","3","0","0"
"1953-06-11","4","0","0"
"1953-06-12","4","0","0"
"1953-06-13","4","0","0"
"1953-06-14","4","0","0"
"1953-06-15","5","5","0"
"1953-06-16","5","0","0"
"1953-06-17","28","0","0"
"1953-06-18","61","0","0"
"1953-06-19","61","0","0"
"1953-06-20","62","0","0"
"1953-06-21","67","0","0"
"1953-06-22","70","0","0"
"1953-06-23","71","71","71"
"1953-06-24","63","0","0"
"1953-06-25","53","0","0"
"1953-06-26","17","0","0"
"1953-06-27","22","0","0"
"1953-06-28","21","0","0"
"1953-06-29","24","0","0"
"1953-06-30","29","0","0"
"1953-07-01","29","29","0"
"1953-07-02","22","0","0"
"1953-07-03","18","0","0"
"1953-07-04","16","0","16"
"1953-07-05","16","0","0"
"1953-07-06","12","0","0"
"1953-07-07","12","0","0"
"1953-07-08","12","0","0"
"1953-07-09","8","0","0"
"1953-07-10","0","0","0"
"1953-07-11","0","0","0"
"1953-07-12","1","0","0"
"1953-07-13","3","0","0"
"1953-07-14","13","0","0"
"1953-07-15","15","0","0"
"1953-07-16","16","16","0"
"1953-07-17","16","0","0"
"1953-07-18","17","0","0"
"1953-07-19","17","0","0"
"1953-07-20","9","0","0"
"1953-07-21","9","0","0"
"1953-07-22","8","0","0"
"1953-07-23","16","0","0"
"1953-07-24","31","0","0"
"1953-07-25","33","33","33"
"1953-07-26","31","0","0"
"1953-07-27","31","0","0"
"1953-07-28","29","0","0"
"1953-07-29","24","0","0"
"1953-07-30","10","0","0"
"1953-07-31","2","0","0"
"1953-08-01","2","0","0"
"1953-08-02","2","2","0"
"1953-08-03","0","0","0"
"1953-08-04","0","0","0"
"1953-08-05","0","0","0"
"1953-08-06","1","0","0"
"1953-08-07","19","0","0"
"1953-08-08","20","0","0"
"1953-08-09","20","0","0"
"1953-08-10","22","0","0"
"1953-08-11","24","0","0"
"1953-08-12","25","25","25"
"1953-08-13","22","0","0"
"1953-08-14","16","0","0"
"1953-08-15","16","0","0"
"1953-08-16","18","0","0"
"1953-08-17","25","0","0"
"1953-08-18","25","0","0"
"1953-08-19","25","0","0"
"1953-08-20","25","0","0"
"1953-08-21","17","0","0"
"1953-08-22","15","0","0"
"1953-08-23","16","0","16"
"1953-08-24","16","0","0"
