"","x","x7","x10"
"1951-05-01","0","0","0"
"1951-05-02","0","0","0"
"1951-05-03","0","0","0"
"1951-05-04","0","0","0"
"1951-05-05","0","0","0"
"1951-05-06","0","0","0"
"1951-05-07","0","0","0"
"1951-05-08","0","0","0"
"1951-05-09","0","0","0"
"1951-05-10","0","0","0"
"1951-05-11","0","0","0"
"1951-05-12","0","0","0"
"1951-05-13","0","0","0"
"1951-05-14","0","0","0"
"1951-05-15","0","0","0"
"1951-05-16","0","0","0"
"1951-05-17","0","0","0"
"1951-05-18","0","0","0"
"1951-05-19","0","0","0"
"1951-05-20","0","0","0"
"1951-05-21","5","0","0"
"1951-05-22","8","0","0"
"1951-05-23","8","0","0"
"1951-05-24","39","0","0"
"1951-05-25","49","0","0"
"1951-05-26","72","72","72"
"1951-05-27","67","0","0"
"1951-05-28","66","0","0"
"1951-05-29","66","0","0"
"1951-05-30","66","0","0"
"1951-05-31","57","0","0"
"1951-06-01","1","0","0"
"1951-06-02","0","0","0"
"1951-06-03","0","0","0"
"1951-06-04","0","0","0"
"1951-06-05","0","0","0"
"1951-06-06","0","0","0"
"1951-06-07","0","0","0"
"1951-06-08","0","0","0"
"1951-06-09","0","0","0"
"1951-06-10","6","6","0"
"1951-06-11","11","0","0"
"1951-06-12","24","0","0"
"1951-06-13","79","0","0"
"1951-06-14","129","0","0"
"1951-06-15","168","0","0"
"1951-06-16","211","0","0"
"1951-06-17","235","0","0"
"1951-06-18","244","244","244"
"1951-06-19","203","0","0"
"1951-06-20","196","0","0"
"1951-06-21","173","0","0"
"1951-06-22","148","0","0"
"1951-06-23","83","0","0"
"1951-06-24","16","0","0"
"1951-06-25","3","0","0"
"1951-06-26","0","0","0"
"1951-06-27","0","0","0"
"1951-06-28","0","0","0"
"1951-06-29","0","0","0"
"1951-06-30","0","0","0"
"1951-07-01","0","0","0"
"1951-07-02","0","0","0"
"1951-07-03","0","0","0"
"1951-07-04","0","0","0"
"1951-07-05","0","0","0"
"1951-07-06","0","0","0"
"1951-07-07","0","0","0"
"1951-07-08","0","0","0"
"1951-07-09","2","0","0"
"1951-07-10","7","0","0"
"1951-07-11","36","36","36"
"1951-07-12","36","0","0"
"1951-07-13","36","0","0"
"1951-07-14","36","0","0"
"1951-07-15","36","0","0"
"1951-07-16","30","0","0"
"1951-07-17","0","0","0"
"1951-07-18","0","0","0"
"1951-07-19","0","0","0"
"1951-07-20","0","0","0"
"1951-07-21","0","0","0"
"1951-07-22","0","0","0"
"1951-07-23","0","0","0"
"1951-07-24","0","0","0"
"1951-07-25","0","0","0"
"1951-07-26","0","0","0"
"1951-07-27","0","0","0"
"1951-07-28","0","0","0"
"1951-07-29","0","0","0"
"1951-07-30","0","0","0"
"1951-07-31","0","0","0"
"1951-08-01","0","0","0"
"1951-08-02","5","0","0"
"1951-08-03","27","0","0"
"1951-08-04","29","29","29"
"1951-08-05","29","0","0"
"1951-08-06","29","0","0"
"1951-08-07","29","0","0"
"1951-08-08","29","0","0"
"1951-08-09","24","0","0"
"1951-08-10","24","0","0"
"1951-08-11","14","0","0"
"1951-08-12","4","4","0"
"1951-08-13","4","0","0"
"1951-08-14","4","0","0"
"1951-08-15","4","0","4"
"1951-08-16","4","0","0"
"1951-08-17","4","0","0"
"1951-08-18","0","0","0"
"1951-08-19","0","0","0"
"1951-08-20","0","0","0"
"1951-08-21","0","0","0"
"1951-08-22","0","0","0"
"1951-08-23","0","0","0"
"1951-08-24","0","0","0"
"1951-08-25","0","0","0"
"1951-08-26","0","0","0"
"1951-08-27","0","0","0"
"1951-08-28","5","0","0"
"1951-08-29","14","14","14"
"1951-08-30","14","0","0"
"1951-08-31","14","0","0"
"1951-09-01","14","0","0"
"1951-09-02","14","0","0"
"1951-09-03","14","0","0"
"1951-09-04","4","0","0"
"1951-09-05","31","0","0"
"1951-09-06","127","0","0"
"1951-09-07","199","0","0"
"1951-09-08","255","0","0"
"1951-09-09","273","0","0"
"1951-09-10","279","0","0"
"1951-09-11","327","0","0"
"1951-09-12","353","353","353"
"1951-09-13","353","0","0"
"1951-09-14","252","0","0"
"1951-09-15","246","0","0"
"1951-09-16","229","0","0"
"1951-09-17","73","0","0"
"1951-09-18","7","0","0"
"1951-09-19","0","0","0"
"1951-09-20","0","0","0"
"1951-09-21","0","0","0"
"1951-09-22","0","0","0"
"1951-09-23","0","0","0"
"1951-09-24","0","0","0"
"1951-09-25","0","0","0"
"1951-09-26","0","0","0"
"1951-09-27","0","0","0"
"1951-09-28","0","0","0"
"1951-09-29","0","0","0"
"1951-09-30","0","0","0"
"1952-05-01","167","0","0"
"1952-05-02","213","0","0"
"1952-05-03","256","0","0"
"1952-05-04","270","0","0"
"1952-05-05","326","326","326"
"1952-05-06","326","0","0"
"1952-05-07","315","0","0"
"1952-05-08","231","0","0"
"1952-05-09","229","0","0"
"1952-05-10","202","0","0"
"1952-05-11","56","0","0"
"1952-05-12","5","0","0"
"1952-05-13","5","0","0"
"1952-05-14","11","0","0"
"1952-05-15","16","16","0"
"1952-05-16","16","0","0"
"1952-05-17","16","0","0"
"1952-05-18","16","0","0"
"1952-05-19","16","0","0"
"1952-05-20","13","0","0"
"1952-05-21","7","0","0"
"1952-05-22","7","0","0"
"1952-05-23","4","0","0"
"1952-05-24","22","0","22"
"1952-05-25","22","0","0"
"1952-05-26","24","24","0"
"1952-05-27","23","0","0"
"1952-05-28","22","0","0"
"1952-05-29","22","0","0"
"1952-05-30","7","0","0"
"1952-05-31","6","0","0"
"1952-06-01","13","0","0"
"1952-06-02","26","0","0"
"1952-06-03","32","0","0"
"1952-06-04","36","0","0"
"1952-06-05","44","0","44"
"1952-06-06","44","0","0"
"1952-06-07","43","0","0"
"1952-06-08","47","0","0"
"1952-06-09","70","70","0"
"1952-06-10","50","0","0"
"1952-06-11","49","0","0"
"1952-06-12","51","0","0"
"1952-06-13","81","0","0"
"1952-06-14","138","0","0"
"1952-06-15","193","0","0"
"1952-06-16","193","0","0"
"1952-06-17","194","0","0"
"1952-06-18","197","197","197"
"1952-06-19","190","0","0"
"1952-06-20","89","0","0"
"1952-06-21","48","0","0"
"1952-06-22","45","0","0"
"1952-06-23","56","0","0"
"1952-06-24","77","0","0"
"1952-06-25","87","0","0"
"1952-06-26","82","0","0"
"1952-06-27","298","0","0"
"1952-06-28","795","0","0"
"1952-06-29","1170","0","0"
"1952-06-30","1271","1271","1271"
"1952-07-01","1259","0","0"
"1952-07-02","1240","0","0"
"1952-07-03","1198","0","0"
"1952-07-04","1198","0","0"
"1952-07-05","1180","0","0"
"1952-07-06","1022","0","0"
"1952-07-07","827","0","0"
"1952-07-08","228","228","0"
"1952-07-09","127","0","0"
"1952-07-10","146","0","0"
"1952-07-11","173","0","173"
"1952-07-12","169","0","0"
"1952-07-13","123","0","0"
"1952-07-14","103","0","0"
"1952-07-15","56","0","0"
"1952-07-16","37","37","0"
"1952-07-17","3","0","0"
"1952-07-18","0","0","0"
"1952-07-19","0","0","0"
"1952-07-20","2","0","0"
"1952-07-21","2","0","0"
"1952-07-22","2","0","2"
"1952-07-23","2","0","0"
"1952-07-24","2","2","0"
"1952-07-25","2","0","0"
"1952-07-26","1","0","0"
"1952-07-27","1","0","0"
"1952-07-28","0","0","0"
"1952-07-29","0","0","0"
"1952-07-30","0","0","0"
"1952-07-31","0","0","0"
"1952-08-01","0","0","0"
"1952-08-02","32","0","0"
"1952-08-03","34","34","0"
"1952-08-04","34","0","0"
"1952-08-05","34","0","0"
"1952-08-06","35","0","0"
"1952-08-07","36","0","0"
"1952-08-08","51","0","0"
"1952-08-09","28","0","0"
"1952-08-10","73","0","0"
"1952-08-11","243","0","0"
"1952-08-12","246","246","246"
"1952-08-13","246","0","0"
"1952-08-14","246","0","0"
"1952-08-15","246","0","0"
"1952-08-16","236","0","0"
"1952-08-17","14","0","0"
"1952-08-18","2","0","0"
"1952-08-19","1","0","0"
"1952-08-20","1","1","0"
"1952-08-21","1","0","0"
"1952-08-22","1","0","0"
"1952-08-23","1","0","0"
"1952-08-24","1","0","0"
"1952-08-25","0","0","0"
"1952-08-26","8","0","0"
"1952-08-27","43","0","0"
"1952-08-28","59","0","0"
"1952-08-29","64","0","0"
"1952-08-30","67","67","67"
"1952-08-31","67","0","0"
"1952-09-01","67","0","0"
"1952-09-02","46","0","0"
"1952-09-03","48","0","0"
"1952-09-04","36","0","0"
"1952-09-05","21","0","0"
"1952-09-06","20","0","0"
"1952-09-07","19","19","0"
"1952-09-08","7","0","0"
"1952-09-09","0","0","0"
"1952-09-10","3","0","0"
"1952-09-11","3","0","0"
"1952-09-12","3","0","0"
"1952-09-13","5","0","5"
"1952-09-14","5","0","0"
"1952-09-15","5","5","0"
"1952-09-16","5","0","0"
"1952-09-17","5","0","0"
"1952-09-18","5","0","0"
"1952-09-19","2","0","0"
"1952-09-20","2","0","0"
"1952-09-21","2","0","0"
"1952-09-22","0","0","0"
"1952-09-23","0","0","0"
"1952-09-24","0","0","0"
"1952-09-25","0","0","0"
"1952-09-26","0","0","0"
"1952-09-27","0","0","0"
"1952-09-28","0","0","0"
"1952-09-29","0","0","0"
"1952-09-30","0","0","0"
"1953-05-01","2","0","0"
"1953-05-02","4","0","0"
"1953-05-03","6","0","0"
"1953-05-04","15","15","15"
"1953-05-05","15","0","0"
"1953-05-06","15","0","0"
"1953-05-07","15","0","0"
"1953-05-08","13","0","0"
"1953-05-09","9","0","0"
"1953-05-10","0","0","0"
"1953-05-11","0","0","0"
"1953-05-12","0","0","0"
"1953-05-13","5","5","0"
"1953-05-14","5","0","0"
"1953-05-15","377","0","0"
"1953-05-16","491","0","0"
"1953-05-17","630","0","0"
"1953-05-18","658","0","0"
"1953-05-19","1188","0","0"
"1953-05-20","1386","0","0"
"1953-05-21","1609","1609","1609"
"1953-05-22","1444","0","0"
"1953-05-23","1440","0","0"
"1953-05-24","1477","0","0"
"1953-05-25","1276","0","0"
"1953-05-26","667","0","0"
"1953-05-27","494","0","0"
"1953-05-28","353","0","0"
"1953-05-29","309","309","0"
"1953-05-30","245","0","0"
"1953-05-31","188","0","0"
"1953-06-01","107","0","107"
"1953-06-02","46","0","0"
"1953-06-03","0","0","0"
"1953-06-04","0","0","0"
"1953-06-05","0","0","0"
"1953-06-06","0","0","0"
"1953-06-07","0","0","0"
"1953-06-08","0","0","0"
"1953-06-09","0","0","0"
"1953-06-10","0","0","0"
"1953-06-11","0","0","0"
"1953-06-12","0","0","0"
"1953-06-13","0","0","0"
"1953-06-14","0","0","0"
"1953-06-15","0","0","0"
"1953-06-16","0","0","0"
"1953-06-17","0","0","0"
"1953-06-18","0","0","0"
"1953-06-19","0","0","0"
"1953-06-20","0","0","0"
"1953-06-21","0","0","0"
"1953-06-22","0","0","0"
"1953-06-23","0","0","0"
"1953-06-24","0","0","0"
"1953-06-25","0","0","0"
"1953-06-26","0","0","0"
"1953-06-27","0","0","0"
"1953-06-28","0","0","0"
"1953-06-29","0","0","0"
"1953-06-30","0","0","0"
"1953-07-01","0","0","0"
"1953-07-02","0","0","0"
"1953-07-03","0","0","0"
"1953-07-04","1","1","1"
"1953-07-05","1","0","0"
"1953-07-06","1","0","0"
"1953-07-07","1","0","0"
"1953-07-08","1","0","0"
"1953-07-09","1","0","0"
"1953-07-10","0","0","0"
"1953-07-11","0","0","0"
"1953-07-12","0","0","0"
"1953-07-13","0","0","0"
"1953-07-14","0","0","0"
"1953-07-15","0","0","0"
"1953-07-16","0","0","0"
"1953-07-17","1","0","0"
"1953-07-18","23","0","0"
"1953-07-19","25","0","0"
"1953-07-20","25","0","0"
"1953-07-21","25","0","0"
"1953-07-22","25","0","0"
"1953-07-23","25","0","0"
"1953-07-24","26","26","26"
"1953-07-25","26","0","0"
"1953-07-26","8","0","0"
"1953-07-27","2","0","0"
"1953-07-28","2","0","0"
"1953-07-29","8","0","0"
"1953-07-30","7","0","0"
"1953-07-31","7","0","0"
"1953-08-01","7","0","0"
"1953-08-02","8","0","0"
"1953-08-03","7","0","0"
"1953-08-04","7","0","0"
"1953-08-05","7","0","0"
"1953-08-06","10","10","10"
"1953-08-07","10","0","0"
"1953-08-08","7","0","0"
"1953-08-09","7","0","0"
"1953-08-10","8","0","0"
"1953-08-11","8","0","0"
"1953-08-12","3","0","0"
"1953-08-13","3","0","0"
"1953-08-14","1","0","0"
"1953-08-15","3","3","0"
"1953-08-16","4","0","0"
"1953-08-17","9","0","0"
"1953-08-18","9","0","0"
"1953-08-19","9","0","0"
"1953-08-20","9","0","0"
"1953-08-21","15","0","0"
"1953-08-22","39","0","0"
"1953-08-23","40","40","40"
"1953-08-24","40","0","0"
